var,win,ops,active
mrentabilidad,6,"mean,sd,cv,ratioavg",TRUE
mrentabilidad_annual,6,"mean,sd,cv,ratioavg",TRUE
mcomisiones,6,"mean,sd,cv,ratioavg",TRUE
mactivos_margen,6,"mean,sd,cv,ratioavg",TRUE
mpasivos_margen,6,"mean,sd,cv,ratioavg",TRUE
mcuenta_corriente_adicional,6,"mean,sd,cv,ratioavg",TRUE
mcuenta_corriente,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mcaja_ahorro,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mcaja_ahorro_adicional,6,"mean,sd,cv,ratioavg",TRUE
mcaja_ahorro_dolares,6,"mean,sd,cv,ratioavg",TRUE
mcuentas_saldo,6,"mean,sd,cv,ratioavg",TRUE
mautoservicio,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mtarjeta_visa_consumo,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mtarjeta_master_consumo,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mprestamos_prendarios,6,"mean,sd,cv,ratioavg",TRUE
mprestamos_hipotecarios,6,"mean,sd,cv,ratioavg",TRUE
mplazo_fijo_dolares,6,"mean,sd,cv,ratioavg",TRUE
mplazo_fijo_pesos,6,"mean,sd,cv,ratioavg",TRUE
minversion1_pesos,6,"mean,sd,cv,ratioavg",TRUE
minversion1_dolares,6,"mean,sd,cv,ratioavg",TRUE
minversion2,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mpayroll,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mpayroll2,6,"mean,sd,cv,ratioavg",TRUE
mcuenta_debitos_automaticos,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mtarjeta_visa_debitos_automaticos,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mttarjeta_master_debitos_automaticos,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mpagodeservicios,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mpagomiscuentas,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mcajeros_propios_descuentos,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mtarjeta_visa_descuentos,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mtarjeta_master_descuentos,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mcomisiones_mantenimiento,6,"mean,sd,cv,ratioavg",TRUE
mcomisiones_otras,6,"mean,sd,cv,ratioavg",TRUE
mforex_buy,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mforex_sell,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mtransferencias_recibidas,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mtransferencias_emitidas,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mextraccion_autoservicio,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mcheques_depositados,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mcheques_emitidos,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
mcheques_depositados_rechazados,6,"mean,sd,cv,ratioavg",TRUE
mcheques_emitidos_rechazados,6,"mean,sd,cv,ratioavg",TRUE
matm,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
matm_other,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Master_mfinanciacion_limite,6,"mean,sd,cv,ratioavg",TRUE
Master_msaldototal,6,"mean,sd,cv,ratioavg",TRUE
Master_msaldopesos,6,"mean,sd,cv,ratioavg",TRUE
Master_msaldodolares,6,"mean,sd,cv,ratioavg",TRUE
Master_mconsumospesos,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Master_mconsumosdolares,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Master_mlimitecompra,6,"mean,sd,cv,ratioavg",TRUE
Master_madelantopesos,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Master_madelantodolares,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Master_mpagado,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Master_mpagospesos,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Master_mpagosdolares,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Master_mconsumototal,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Master_mpagominimo,6,"mean,sd,cv,ratioavg",TRUE
Visa_mfinanciacion_limite,6,"mean,sd,cv,ratioavg",TRUE
Visa_msaldototal,6,"mean,sd,cv,ratioavg",TRUE
Visa_msaldopesos,6,"mean,sd,cv,ratioavg",TRUE
Visa_msaldodolares,6,"mean,sd,cv,ratioavg",TRUE
Visa_mconsumospesos,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Visa_mconsumosdolares,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Visa_mlimitecompra,6,"mean,sd,cv,ratioavg",TRUE
Visa_madelantopesos,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Visa_madelantodolares,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Visa_mpagado,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Visa_mpagospesos,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Visa_mpagosdolares,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Visa_mconsumototal,6,"mean,sd,cv,prop_gt0,ratioavg",TRUE
Visa_mpagominimo,6,"mean,sd,cv,ratioavg",TRUE

